,Users,Game_name,user_rating
384,/user/Eikast,The Last of Us Remastered,10
389,/user/rodericrinehart,The Last of Us Remastered,10
392,/user/Max22193,The Last of Us Remastered,10
393,/user/LTR,The Last of Us Remastered,10
396,/user/Kenmei,The Last of Us Remastered,10
397,/user/Jimmydm90,The Last of Us Remastered,10
400,/user/artificeprime,God of War,9
403,/user/KirillKutz,God of War,10
404,/user/jpacor,God of War,5
408,/user/Mindurbidniss,God of War,4
412,/user/MadMax3,God of War,10
414,/user/Britmatt81,God of War,3
421,/user/allwititnowsuck,God of War,4
425,/user/Strumbore,God of War,2
431,/user/captainkane,God of War,6
437,/user/rocco30,God of War,0
441,/user/dannygards,God of War,6
442,/user/dantah,God of War,0
444,/user/easy63,God of War,0
446,/user/amsterdream,God of War,1
451,/user/abvilla,God of War,1
459,/user/elric19,God of War,5
462,/user/theTRUTHson,God of War,6
464,/user/endtransmission,God of War,6
476,/user/Quijote,God of War,4
478,/user/worldcitizen19,God of War,0
481,/user/quake2th,God of War,5
483,/user/Brownbelt2018,God of War,5
504,/user/dariuszppl,XCOM 2: War of the Chosen,9
505,/user/shiftyman,XCOM 2: War of the Chosen,5
506,/user/CccyrussS,XCOM 2: War of the Chosen,10
507,/user/chrisse989,XCOM 2: War of the Chosen,8
511,/user/Metempsychosis,XCOM 2: War of the Chosen,3
516,/user/rodericrinehart,XCOM 2: War of the Chosen,8
517,/user/FallenStar,XCOM 2: War of the Chosen,10
518,/user/LordMOrion,XCOM 2: War of the Chosen,8
522,/user/Bioware-Critic,XCOM 2: War of the Chosen,4
524,/user/Berik,XCOM 2: War of the Chosen,7
525,/user/dopp,XCOM 2: War of the Chosen,10
526,/user/Tuhkakasa,XCOM 2: War of the Chosen,8
527,/user/eduardocecconi,XCOM 2: War of the Chosen,5
530,/user/willerkiller,The Last of Us Part II,1
538,/user/Exilefalcontr,The Last of Us Part II,0
554,/user/alsione,The Last of Us Part II,0
599,/user/DatPhoenix,The Last of Us Part II,0
604,/user/death12123,The Last of Us Part II,5
611,/user/MatrixRebel,The Last of Us Part II,4
620,/user/CaptainMug,The Last of Us Part II,6
623,/user/DrGerm,The Last of Us Part II,0
627,/user/YoungSatch3,The Last of Us Part II,0
628,/user/Carda1972,Persona 5,9
629,/user/Trunks252,Persona 5,10
633,/user/sityoazzdown,Persona 5,9
646,/user/Chillywilly23,Persona 5,10
668,/user/Nataraja,Persona 5,10
670,/user/Samyar91,Persona 5,10
673,/user/Gamexpert,Persona 5,10
679,/user/Goo4you,Persona 5,8
682,/user/Daniel_Keelh,Persona 5,10
685,/user/BlakDak666,Persona 5,10
686,/user/Kenmei,Persona 5,10
689,/user/ByYuxiSs,Persona 5,8
692,/user/Ishi123,Persona 5,9
695,/user/roman_emperor,Persona 5,7
698,/user/Multipleman,Persona 5,10
704,/user/ZicX,Persona 5,10
706,/user/NexusTsunami,Persona 5,10
711,/user/The_BlueRose,Persona 5,10
713,/user/PlayorNaygames,Persona 5,7
716,/user/dreamstate42,Persona 5,10
718,/user/Jamesshen,Persona 5,10
720,/user/Panzidane,Persona 5,10
722,/user/FranchuteKikito,Persona 5,10
727,/user/gq_foine,Persona 5,10
728,/user/Bollywongaloid,Metal Gear Solid V: The Phantom Pain,7
731,/user/carlingtat,Metal Gear Solid V: The Phantom Pain,7
737,/user/SWERY_51,Metal Gear Solid V: The Phantom Pain,10
740,/user/goga12309s,Metal Gear Solid V: The Phantom Pain,10
743,/user/Captiosus,Metal Gear Solid V: The Phantom Pain,7
749,/user/Avodeskorm,Metal Gear Solid V: The Phantom Pain,4
752,/user/ghostliving,Metal Gear Solid V: The Phantom Pain,10
754,/user/dharma,Metal Gear Solid V: The Phantom Pain,9
756,/user/vZeqk___,Metal Gear Solid V: The Phantom Pain,10
767,/user/Jimmytwotimes,Metal Gear Solid V: The Phantom Pain,10
771,/user/Malprodigy,Metal Gear Solid V: The Phantom Pain,9
774,/user/DeepThroat,Metal Gear Solid V: The Phantom Pain,10
775,/user/Makaveli,Metal Gear Solid V: The Phantom Pain,10
778,/user/1234marcos,Metal Gear Solid V: The Phantom Pain,10
785,/user/Hellome7,Metal Gear Solid V: The Phantom Pain,10
789,/user/TixyLix,Metal Gear Solid V: The Phantom Pain,5
790,/user/porhawj,Metal Gear Solid V: The Phantom Pain,10
791,/user/Dionysus777,Metal Gear Solid V: The Phantom Pain,10
794,/user/YessirKilla,Metal Gear Solid V: The Phantom Pain,10
800,/user/vgmkyle,Metal Gear Solid V: The Phantom Pain,10
806,/user/JMARSseph,Metal Gear Solid V: The Phantom Pain,6
808,/user/Skarwind,Metal Gear Solid V: The Phantom Pain,7
809,/user/partyintheback,Metal Gear Solid V: The Phantom Pain,3
810,/user/asfj,Metal Gear Solid V: The Phantom Pain,4
816,/user/SuperMe,Metal Gear Solid V: The Phantom Pain,0
820,/user/HenriqueV,Metal Gear Solid V: The Phantom Pain,10
823,/user/StanRezaee,Metal Gear Solid V: The Phantom Pain,10
827,/user/Mollozoman,Metal Gear Solid V: The Phantom Pain,9
833,/user/Tony1979,Uncharted 4: A Thief's End,10
840,/user/MikeyGunz0,Uncharted 4: A Thief's End,10
841,/user/enforcer01,Uncharted 4: A Thief's End,10
845,/user/SnurgBurgler,Uncharted 4: A Thief's End,10
858,/user/yourherojames,Uncharted 4: A Thief's End,10
861,/user/XxX-jesus-XxX,Uncharted 4: A Thief's End,10
862,/user/arijitfrens2006,Uncharted 4: A Thief's End,10
866,/user/Unlimitedpower4,Uncharted 4: A Thief's End,10
868,/user/Jaypeace,Uncharted 4: A Thief's End,10
873,/user/Purguins,Uncharted 4: A Thief's End,10
875,/user/bryan016,Uncharted 4: A Thief's End,10
882,/user/Nycore,Uncharted 4: A Thief's End,10
901,/user/Colaflare,Uncharted 4: A Thief's End,10
902,/user/SCLancho,Uncharted 4: A Thief's End,10
916,/user/SoftwareLibre,Uncharted 4: A Thief's End,10
923,/user/Nairdan,Uncharted 4: A Thief's End,10
926,/user/Jorlan,Uncharted 4: A Thief's End,10
931,/user/drlowdon,Journey,9
932,/user/Spyros_spy,Journey,7
933,/user/t0mmyg,Journey,7
934,/user/MulQuahDiiv,Journey,2
935,/user/raskin_oleg,Journey,9
937,/user/ERRORCODE-20,Journey,7
938,/user/bersi84,Journey,5
939,/user/613th,Journey,6
940,/user/DjaySuzi,Journey,2
946,/user/Bensonzim92,Journey,9
947,/user/MerodeTalks,Journey,6
950,/user/wangweixun,Journey,4
951,/user/eded9999,Journey,6
952,/user/homer4president,Journey,10
954,/user/Gurdur,Journey,5
956,/user/Kurty,Journey,5
957,/user/lordsuarez,Journey,10
958,/user/Nath6349,Journey,6
960,/user/Nathan1963,Journey,7
961,/user/chr1so,Journey,2
962,/user/theTRUTHson,Journey,2
963,/user/Bumpster,Journey,4
966,/user/houjo2000,Journey,1
967,/user/DYEGameBro,Journey,10
969,/user/TSapper,Journey,2
970,/user/romanontherun,Journey,10
972,/user/Lewis-Angelo,Journey,2
973,/user/spesini,Journey,1
974,/user/jdvb00,Journey,1
975,/user/rodericrinehart,Journey,9
976,/user/wade22fan,Journey,9
978,/user/nonchalantgamer,Journey,9
979,/user/DrakeGarrison,Journey,9
980,/user/The_Garays,Journey,10
982,/user/epistm87,Journey,10
988,/user/ITZZZPERRY,Journey,10
